Encryption Throughput (MB/s),Decryption Throughput (MB/s),File Size (bytes),Algorithm
38.23749066467513,38.29468960359013,51200,Camellia (128-bit)
347.1186440677966,682.6666666666666,5120,AES (128-bit)
10.700104493207942,10.807387862796833,5120,3DES
602.3529411764706,975.2380952380952,5120,ChaCha20
34.889267461669505,37.7859778597786,5120,Camellia (128-bit)
44.11657543871459,8.427428104822052,5242880,AES (128-bit)
1.4672532735672106,1.1321025853524316,5242880,3DES
28.8216021285485,19.691105842585856,5242880,ChaCha20
3.5246957039981135,2.288715920439655,5242880,Camellia (128-bit)
880.8602150537635,832.520325203252,102400,AES (128-bit)
6.576327788838225,1.1765685905593009,102400,3DES
1442.2535211267605,1478.7003610108304,102400,ChaCha20
38.134251931849924,37.936463832546075,102400,Camellia (128-bit)
546.1333333333333,803.1372549019608,10240,AES (128-bit)
10.934329951948746,11.073263044065964,10240,3DES
546.1333333333333,1204.7058823529412,10240,ChaCha20
37.57798165137615,39.04671115347951,10240,Camellia (128-bit)
9.273030723697198,19.09384120301601,10485760,AES (128-bit)
1.0698956501359107,1.6952750200455582,10485760,3DES
20.297805392320786,8.446001961730746,10485760,ChaCha20
2.9235560830059675,3.174290023560243,10485760,Camellia (128-bit)
141.24137931034483,315.0769230769231,1024,AES (128-bit)
9.122494432071269,10.475703324808185,1024,3DES
136.53333333333333,455.1111111111111,1024,ChaCha20
21.67195767195767,35.00854700854701,1024,Camellia (128-bit)
724.7803697943667,889.566065747614,1048576,AES (128-bit)
2.4036787258331462,1.337919911807037,1048576,3DES
1122.3719561145303,1194.6180575334663,1048576,ChaCha20
4.334619983485406,4.047188691079269,1048576,Camellia (128-bit)
677.0247933884298,1024.0,20480,AES (128-bit)
10.803112224713175,10.708496732026143,20480,3DES
880.8602150537635,1489.4545454545455,20480,ChaCha20
36.83453237410072,39.139990444338274,20480,Camellia (128-bit)
8.367532695400095,9.095340515471529,20971520,AES (128-bit)
1.5311046983054393,6.0717431436364775,20971520,3DES
9.764604871798214,7.277633569772768,20971520,ChaCha20
2.83660787658228,5.1537412140702665,20971520,Camellia (128-bit)
163.84,481.88235294117646,2048,AES (128-bit)
10.088669950738916,10.227215980024969,2048,3DES
221.40540540540542,910.2222222222222,2048,ChaCha20
31.03030303030303,35.61739130434783,2048,Camellia (128-bit)
485.42376019906254,31.15997488958475,2097152,AES (128-bit)
2.598357652194087,1.2949793239765457,2097152,3DES
751.2634784166219,727.6093329863821,2097152,ChaCha20
3.9714444111463187,3.074071020258888,2097152,Camellia (128-bit)
618.7311178247734,989.3719806763285,51200,AES (128-bit)
10.833685992382565,2.9675568371176446,51200,3DES
1528.358208955224,2226.086956521739,51200,ChaCha20
37.820867959372116,38.23749066467513,51200,Camellia (128-bit)
445.2173913043478,706.2068965517242,5120,AES (128-bit)
10.61139896373057,10.784623486045287,5120,3DES
620.6060606060606,975.2380952380952,5120,ChaCha20
34.948805460750854,37.57798165137615,5120,Camellia (128-bit)
37.50265110398587,17.09712370099404,5242880,AES (128-bit)
1.7576686671794295,2.131260046404646,5242880,3DES
63.24476089664137,30.67747395090497,5242880,ChaCha20
4.436994275909417,5.926172086163744,5242880,Camellia (128-bit)
