File,Algorithm,Hash,Entropy
byte0012.dat,SHA3-256,e6ffc13f11c05d31b6fd57fc00f325a2f017f709c242f0bbb6631616985af08c,4.726409765557392
byte0012.dat,Blake2b,3926f09b33fce44d82014a6cecb2b4d3cf0a6b00417c8d29b7b0bb46bbc361c153b5477c1e3bbbec7e307fdb6ea91fbcba28a2578acf4174b6f06e67e6956786,5.706954882778696
byte0013.dat,MD5,cf3b261af9344bf83b4dd82b30242c78,3.875
byte0013.dat,SHA-1,9fe2da967bd8441eea1c32df68ddaa9dc1fc8e4b,4.321928094887363
byte0013.dat,SHA-256,c2e0ed603bfa67292b78a29264e409a2e0c98482cdb59cf4fe7cafff69853d11,4.875
byte0013.dat,SHA3-256,c4bababe94f65adf4f36823b39146ec0d946c3a189f9d5550bdc9bcbe30f2745,4.9375
byte0013.dat,Blake2b,f322760c7ab69f063b0f269ca225deb358724fa5292de854e8caa88edc3114a86dc50709797b2983b50edb6a4af57f44fd2b343449e67587ec188d26288a8d8b,5.8125
byte0014.dat,MD5,530710f65fb98fff8eb927e2938cb8c5,3.875
byte0014.dat,SHA-1,73a31777b4ace9384efa8bbead45c51a71aba6dd,4.321928094887363
byte0014.dat,SHA-256,517f007a8b65d4197411c35b14edb1340490a9be7a6c66b8c827b1e101a05b5c,4.8125
byte0014.dat,SHA3-256,22ba2adb31863668944bc5788e0c67d537eb4642288c12f98b5bc9ecd375ea05,5.0
byte0014.dat,Blake2b,ca3f82d77922fced12bbfe0cafd95314311326bae5fd93a773a316b61b2a03eadab0bde6ed9bb0217269c6e3924bb661f909780e93f180ce05128462ad8c33e3,5.8125
byte0015.dat,MD5,4e6d73658b27e19d4bb4500625001e39,4.0
byte0015.dat,SHA-1,3f9d7c4e2384eddabff5dd8a31e23de3d03f42ac,4.221928094887363
byte0015.dat,SHA-256,76c977fdc97261cd0956ce1319476d314bc57d8691c7884cd0a7ff3cf825c31f,4.9375
byte0015.dat,SHA3-256,42cb49a08041f06e803dfaaf038ecae46dd5f07e0dc624fdc2cb567bef49e347,4.75
byte0015.dat,Blake2b,7ec1be5cee53aa14c0064e17601904b2def5730358394e54b3e1590a9b8a06fd5de0579c2253765d2fdd00a5a9a7f2fd3d69c69961d132d7ffe6cf725c5b699b,5.75
byte0016.dat,MD5,c8e5f2f272b1ef88ec62dd0d9d54e902,3.875
byte0016.dat,SHA-1,4814908f72b93ffd011135bee347de9a08da838f,4.221928094887363
byte0016.dat,SHA-256,f10c26637ea8ca2d0898fa661f087f13f174fe0ca1c91862ce3b6127c3430f51,4.8125
byte0016.dat,SHA3-256,724101f0e4cbf84edc96fb59e435fd557d5d18680f5bcf59fd808e1a7df4a677,4.75
byte0016.dat,Blake2b,4ce3c1d246533d0eba62de20392fcbf12ee74c8fbce9a55b6bc7fdda66ddb9b2889c6f1abc42a6ab44380443cd78c5fedc998b894712036c3854dac9c668af73,5.875
byte0017.dat,MD5,031cbf1fb05b4ec09f3c93235d0f49ac,4.0
byte0017.dat,SHA-1,0978374b67a412a3102c5aa0b10e1a6596fc68eb,4.321928094887363
byte0017.dat,SHA-256,679b95521601c0ba63ce882046abd7a8cdb8e78d5c0ee9f38c21dc47ca846195,4.9375
byte0017.dat,SHA3-256,4b80536d6280e6ca07700349176c59b431f8c7e78e0a59a474bdb23603a333d1,4.8125
byte0017.dat,Blake2b,4dc6d6cf5414d08a91fa0a0fc4b6fb71cd37667b3ddb88c37c52fb7aebc7ccaa782c24dbb1816e5e4b6d90b3d981a8f019ce55c90a844bb3cf09a9ad52ec51c1,5.75
byte0018.dat,MD5,8c0e1400df02ba8c4809b705e5f5e114,3.75
byte0018.dat,SHA-1,44ad6cb618bd935460d46d3f921d87b99ab91c1e,4.221928094887363
byte0018.dat,SHA-256,af369f2162152e43847b4d0c595dcf2d27059563909425f37928bc01090f2f34,5.0
byte0018.dat,SHA3-256,1e824abf55f1c3139dccb414290863d215a57efb5190294b86695c78c17050a9,4.9375
byte0018.dat,Blake2b,e66b97bc04297ea7eef6aa816a7292202d281c5193364950b515021a320ea00b77174b00946a45f58202a0386e643f2179d80d2a10bb118a0eda7eca61c4e090,5.84375
byte0019.dat,MD5,57ec48278e19f71f54c570a5ab306df7,3.875
byte0019.dat,SHA-1,02dc989af265b09cf8485640842128dcf95e9f39,4.221928094887363
byte0019.dat,SHA-256,7e1f6f080a60c402bb9c39578f75afc148a0746c656ca243f75038b82304bdf5,4.9375
byte0019.dat,SHA3-256,b77695334c0adf167c2455038b767de39f144b15a2bc4e6d7a0fa0152e2babed,4.875
byte0019.dat,Blake2b,4a52e383c890bb0d8a74792aa5d18d5cea6bd0994882eaf59b732c62ffaeab11213396c2e775982ccd1a3f31a6d6026420af65bcd0123a11df4ea25f1a9f15ba,5.84375
byte0020.dat,MD5,ecd3dc346a2337b95389a094a031610f,3.875
byte0020.dat,SHA-1,67507b8d497b35d6e99fc01976d73f54aeca75cf,4.221928094887363
