File,Algorithm,Standard Deviation
byte0052.dat,SHA-1,0.26836818808308854
byte0052.dat,SHA-256,0.33071891388307384
byte0052.dat,SHA3-256,0.3535533905932738
byte0052.dat,Blake2b,0.4841229182759271
byte0053.dat,MD5,0.24206145913796356
byte0053.dat,SHA-1,0.26836818808308854
byte0053.dat,SHA-256,0.3423265984407288
byte0053.dat,SHA3-256,0.3423265984407288
byte0053.dat,Blake2b,0.4592793267718459
byte0054.dat,MD5,0.24206145913796356
byte0054.dat,SHA-1,0.26836818808308854
byte0054.dat,SHA-256,0.3644344934278313
byte0054.dat,SHA3-256,0.33071891388307384
byte0054.dat,Blake2b,0.46770717334674267
byte0055.dat,MD5,0.24206145913796356
byte0055.dat,SHA-1,0.3089643739575811
byte0055.dat,SHA-256,0.3535533905932738
byte0055.dat,SHA3-256,0.3535533905932738
byte0055.dat,Blake2b,0.4921254921257382
byte0056.dat,MD5,0.24206145913796356
byte0056.dat,SHA-1,0.2960514893983815
byte0056.dat,SHA-256,0.375
byte0056.dat,SHA3-256,0.3644344934278313
byte0056.dat,Blake2b,0.5
byte0057.dat,MD5,0.2724311839712921
byte0057.dat,SHA-1,0.26836818808308854
byte0057.dat,SHA-256,0.3535533905932738
byte0057.dat,SHA3-256,0.39528470752104744
byte0057.dat,Blake2b,0.4759858191164943
byte0058.dat,MD5,0.2576941016011038
byte0058.dat,SHA-1,0.28254908312539256
byte0058.dat,SHA-256,0.33071891388307384
byte0058.dat,SHA3-256,0.3644344934278313
byte0058.dat,Blake2b,0.4921254921257382
byte0059.dat,MD5,0.2576941016011038
byte0059.dat,SHA-1,0.28254908312539256
byte0059.dat,SHA-256,0.3423265984407288
byte0059.dat,SHA3-256,0.3644344934278313
byte0059.dat,Blake2b,0.4759858191164943
byte0060.dat,MD5,0.2724311839712921
byte0060.dat,SHA-1,0.26836818808308854
byte0060.dat,SHA-256,0.33071891388307384
byte0060.dat,SHA3-256,0.3423265984407288
byte0060.dat,Blake2b,0.5229125165837972
byte0061.dat,MD5,0.2724311839712921
byte0061.dat,SHA-1,0.28254908312539256
byte0061.dat,SHA-256,0.3423265984407288
byte0061.dat,SHA3-256,0.3423265984407288
byte0061.dat,Blake2b,0.4921254921257382
byte0062.dat,MD5,0.2724311839712921
byte0062.dat,SHA-1,0.2960514893983815
byte0062.dat,SHA-256,0.3535533905932738
byte0062.dat,SHA3-256,0.3644344934278313
byte0062.dat,Blake2b,0.4921254921257382
byte0063.dat,MD5,0.24206145913796356
byte0063.dat,SHA-1,0.26836818808308854
byte0063.dat,SHA-256,0.33071891388307384
byte0063.dat,SHA3-256,0.3535533905932738
byte0063.dat,Blake2b,0.4759858191164943
byte0064.dat,MD5,0.24206145913796356
byte0064.dat,SHA-1,0.2960514893983815
byte0064.dat,SHA-256,0.4050462936504913
byte0064.dat,SHA3-256,0.3423265984407288
byte0064.dat,Blake2b,0.4841229182759271
byte0065.dat,MD5,0.2576941016011038
byte0065.dat,SHA-1,0.28254908312539256
byte0065.dat,SHA-256,0.33071891388307384
byte0065.dat,SHA3-256,0.3535533905932738
byte0065.dat,Blake2b,0.4841229182759271
byte0066.dat,MD5,0.2724311839712921
byte0066.dat,SHA-1,0.26836818808308854
byte0066.dat,SHA-256,0.3535533905932738
byte0066.dat,SHA3-256,0.3423265984407288
byte0066.dat,Blake2b,0.5153882032022076
byte0067.dat,MD5,0.2576941016011038
byte0067.dat,SHA-1,0.26836818808308854
byte0067.dat,SHA-256,0.375
byte0067.dat,SHA3-256,0.375
byte0067.dat,Blake2b,0.4841229182759271
byte0068.dat,MD5,0.24206145913796356
byte0068.dat,SHA-1,0.26836818808308854
byte0068.dat,SHA-256,0.33071891388307384
byte0068.dat,SHA3-256,0.33071891388307384
byte0068.dat,Blake2b,0.5229125165837972
byte0069.dat,MD5,0.2576941016011038
byte0069.dat,SHA-1,0.2960514893983815
byte0069.dat,SHA-256,0.33071891388307384
byte0069.dat,SHA3-256,0.33071891388307384
byte0069.dat,Blake2b,0.5
byte0070.dat,MD5,0.24206145913796356
byte0070.dat,SHA-1,0.26836818808308854
byte0070.dat,SHA-256,0.3535533905932738
byte0070.dat,SHA3-256,0.4050462936504913
byte0070.dat,Blake2b,0.5
byte0071.dat,MD5,0.24206145913796356
byte0071.dat,SHA-1,0.28254908312539256
byte0071.dat,SHA-256,0.3535533905932738
byte0071.dat,SHA3-256,0.385275875185561
byte0071.dat,Blake2b,0.5153882032022076
byte0072.dat,MD5,0.24206145913796356
byte0072.dat,SHA-1,0.26836818808308854
byte0072.dat,SHA-256,0.3644344934278313
byte0072.dat,SHA3-256,0.3535533905932738
byte0072.dat,Blake2b,0.5
byte0073.dat,MD5,0.29973947020704494
byte0073.dat,SHA-1,0.28254908312539256
byte0073.dat,SHA-256,0.3423265984407288
byte0073.dat,SHA3-256,0.33071891388307384
byte0073.dat,Blake2b,0.5
byte0074.dat,MD5,0.24206145913796356
byte0074.dat,SHA-1,0.28254908312539256
byte0074.dat,SHA-256,0.3535533905932738
byte0074.dat,SHA3-256,0.3535533905932738
byte0074.dat,Blake2b,0.5
byte0075.dat,MD5,0.2576941016011038
byte0075.dat,SHA-1,0.2960514893983815
byte0075.dat,SHA-256,0.3644344934278313
byte0075.dat,SHA3-256,0.3535533905932738
byte0075.dat,Blake2b,0.4921254921257382
byte0076.dat,MD5,0.2576941016011038
byte0076.dat,SHA-1,0.26836818808308854
byte0076.dat,SHA-256,0.3423265984407288
byte0076.dat,SHA3-256,0.3423265984407288
byte0076.dat,Blake2b,0.5229125165837972
byte0077.dat,MD5,0.24206145913796356
byte0077.dat,SHA-1,0.28254908312539256
byte0077.dat,SHA-256,0.33071891388307384
byte0077.dat,SHA3-256,0.3535533905932738
byte0077.dat,Blake2b,0.5
byte0078.dat,MD5,0.24206145913796356
byte0078.dat,SHA-1,0.26836818808308854
byte0078.dat,SHA-256,0.33071891388307384
byte0078.dat,SHA3-256,0.385275875185561
byte0078.dat,Blake2b,0.5153882032022076
byte0079.dat,MD5,0.24206145913796356
byte0079.dat,SHA-1,0.2960514893983815
byte0079.dat,SHA-256,0.375
byte0079.dat,SHA3-256,0.375
byte0079.dat,Blake2b,0.46770717334674267
byte0080.dat,MD5,0.24206145913796356
byte0080.dat,SHA-1,0.28254908312539256
byte0080.dat,SHA-256,0.3535533905932738
byte0080.dat,SHA3-256,0.3535533905932738
byte0080.dat,Blake2b,0.4921254921257382
byte0081.dat,MD5,0.24206145913796356
byte0081.dat,SHA-1,0.26836818808308854
