File Size (bytes),Algorithm,Time Taken (s)
10485760,MD5,0.020627260208129883
10485760,SHA-1,0.005134105682373047
10485760,SHA-256,0.00501704216003418
10485760,SHA3-256,0.01595306396484375
10485760,BLAKE2b,0.011140108108520508
1024,MD5,0.0001919269561767578
1024,SHA-1,1.6927719116210938e-05
1024,SHA-256,1.1920928955078125e-05
1024,SHA3-256,1.2159347534179688e-05
1024,BLAKE2b,1.0967254638671875e-05
1048576,MD5,0.0027828216552734375
1048576,SHA-1,0.0005090236663818359
1048576,SHA-256,0.0004971027374267578
1048576,SHA3-256,0.0015900135040283203
1048576,BLAKE2b,0.0011157989501953125
209715200,MD5,0.4339561462402344
209715200,SHA-1,0.10705280303955078
209715200,SHA-256,0.10681915283203125
209715200,SHA3-256,0.3320469856262207
209715200,BLAKE2b,0.23204994201660156
20480,MD5,0.0010859966278076172
20480,SHA-1,3.0040740966796875e-05
20480,SHA-256,2.3126602172851562e-05
20480,SHA3-256,4.1961669921875e-05
20480,BLAKE2b,3.719329833984375e-05
20971520,MD5,0.04021716117858887
20971520,SHA-1,0.010435104370117188
20971520,SHA-256,0.010210037231445312
20971520,SHA3-256,0.032357215881347656
20971520,BLAKE2b,0.022786855697631836
