File Name,File Size (bytes),Algorithm,Throughput (MB/s)
pattern_5KB.bin,5120,SHA3-256,232.72727272727272
pattern_5KB.bin,5120,BLAKE2b,222.6086956521739
pattern_5MB.bin,5242880,MD5,465.76466930218095
pattern_5MB.bin,5242880,SHA-1,1952.473698910716
pattern_5MB.bin,5242880,SHA-256,2016.6862198288297
pattern_5MB.bin,5242880,SHA3-256,629.6241143268884
pattern_5MB.bin,5242880,BLAKE2b,900.1038671187605
random_100KB.bin,102400,MD5,119.24308588064046
random_100KB.bin,102400,SHA-1,1334.201954397394
random_100KB.bin,102400,SHA-256,1522.6765799256505
random_100KB.bin,102400,SHA3-256,568.0998613037448
random_100KB.bin,102400,BLAKE2b,806.2992125984252
random_100MB.bin,104857600,MD5,447.43872165973437
random_100MB.bin,104857600,SHA-1,1778.1289876760936
random_100MB.bin,104857600,SHA-256,1881.8242591470937
random_100MB.bin,104857600,SHA3-256,612.6622290583009
random_100MB.bin,104857600,BLAKE2b,864.9832955248505
random_10KB.bin,10240,MD5,10.937249666221629
random_10KB.bin,10240,SHA-1,249.7560975609756
random_10KB.bin,10240,SHA-256,493.49397590361446
random_10KB.bin,10240,SHA3-256,338.5123966942149
random_10KB.bin,10240,BLAKE2b,405.54455445544556
random_10MB.bin,10485760,MD5,370.9770831674937
random_10MB.bin,10485760,SHA-1,1595.3990110308102
random_10MB.bin,10485760,SHA-256,1238.8657844990548
random_10MB.bin,10485760,SHA3-256,602.8377601471772
random_10MB.bin,10485760,BLAKE2b,826.1057275663752
random_1KB.bin,1024,MD5,4.481400437636761
random_1KB.bin,1024,SHA-1,46.54545454545455
random_1KB.bin,1024,SHA-256,75.85185185185185
random_1KB.bin,1024,SHA3-256,69.42372881355932
random_1KB.bin,1024,BLAKE2b,74.47272727272727
random_1MB.bin,1048576,MD5,363.99409875900375
random_1MB.bin,1048576,SHA-1,1930.1905200184078
random_1MB.bin,1048576,SHA-256,1981.248937175248
random_1MB.bin,1048576,SHA3-256,624.152380952381
random_1MB.bin,1048576,BLAKE2b,768.6098588968298
random_200MB.bin,209715200,MD5,455.11851863908373
random_200MB.bin,209715200,SHA-1,1760.6998631505596
random_200MB.bin,209715200,SHA-256,1847.316322283565
random_200MB.bin,209715200,SHA3-256,590.2129411061118
random_200MB.bin,209715200,BLAKE2b,863.2333298345486
random_20KB.bin,20480,MD5,17.4557852120179
random_20KB.bin,20480,SHA-1,512.0
random_20KB.bin,20480,SHA-256,811.0891089108911
random_20KB.bin,20480,SHA3-256,455.1111111111111
random_20KB.bin,20480,BLAKE2b,445.2173913043478
random_20MB.bin,20971520,MD5,435.984740600605
random_20MB.bin,20971520,SHA-1,1909.844045261025
random_20MB.bin,20971520,SHA-256,1946.222449074289
random_20MB.bin,20971520,SHA3-256,620.2297966728281
random_20MB.bin,20971520,BLAKE2b,880.4349377610781
random_2KB.bin,2048,MD5,2.335899629312803
random_2KB.bin,2048,SHA-1,71.85964912280701
random_2KB.bin,2048,SHA-256,120.47058823529412
random_2KB.bin,2048,SHA3-256,113.77777777777777
random_2KB.bin,2048,BLAKE2b,130.03174603174602
random_2MB.bin,2097152,MD5,388.66737710234906
random_2MB.bin,2097152,SHA-1,1978.445283018868
random_2MB.bin,2097152,SHA-256,2017.4622414622415
random_2MB.bin,2097152,SHA3-256,630.4853814355505
random_2MB.bin,2097152,BLAKE2b,889.566065747614
random_50KB.bin,51200,MD5,75.488389237007
random_50KB.bin,51200,SHA-1,1044.8979591836735
random_50KB.bin,51200,SHA-256,1356.291390728477
random_50KB.bin,51200,SHA3-256,537.5328083989501
random_50KB.bin,51200,BLAKE2b,739.3501805054152
random_50MB.bin,52428800,MD5,466.15290574257864
random_50MB.bin,52428800,SHA-1,1689.126582686298
random_50MB.bin,52428800,SHA-256,1895.936282353792
random_50MB.bin,52428800,SHA3-256,614.0012589480465
random_50MB.bin,52428800,BLAKE2b,863.0965511564738
random_5KB.bin,5120,MD5,9.44649446494465
random_5KB.bin,5120,SHA-1,256.0
random_5KB.bin,5120,SHA-256,347.1186440677966
random_5KB.bin,5120,SHA3-256,252.8395061728395
random_5KB.bin,5120,BLAKE2b,305.67164179104475
random_5MB.bin,5242880,MD5,435.15697300437824
random_5MB.bin,5242880,SHA-1,1968.4174957762343
random_5MB.bin,5242880,SHA-256,2022.716049382716
random_5MB.bin,5242880,SHA3-256,624.3753721567226
random_5MB.bin,5242880,BLAKE2b,895.1094797046395
zero_filled_100KB.bin,102400,MD5,194.86203615604185
zero_filled_100KB.bin,102400,SHA-1,781.6793893129772
zero_filled_100KB.bin,102400,SHA-256,683.8063439065108
zero_filled_100KB.bin,102400,SHA3-256,367.3542600896861
zero_filled_100KB.bin,102400,BLAKE2b,438.0748663101604
zero_filled_100MB.bin,104857600,MD5,460.68927036458155
zero_filled_100MB.bin,104857600,SHA-1,1861.9504226152426
zero_filled_100MB.bin,104857600,SHA-256,1712.4221218777304
zero_filled_100MB.bin,104857600,SHA3-256,594.0814288648259
zero_filled_100MB.bin,104857600,BLAKE2b,860.7920601074168
zero_filled_10KB.bin,10240,MD5,10.767613038906415
zero_filled_10KB.bin,10240,SHA-1,294.67625899280574
zero_filled_10KB.bin,10240,SHA-256,445.2173913043478
zero_filled_10KB.bin,10240,SHA3-256,338.5123966942149
zero_filled_10KB.bin,10240,BLAKE2b,409.6
zero_filled_10MB.bin,10485760,MD5,483.43752881512216
zero_filled_10MB.bin,10485760,SHA-1,1952.0193605435845
zero_filled_10MB.bin,10485760,SHA-256,1943.3368855117453
zero_filled_10MB.bin,10485760,SHA3-256,625.2409701414665
zero_filled_10MB.bin,10485760,BLAKE2b,895.4916947777446
zero_filled_1KB.bin,1024,MD5,3.2
zero_filled_1KB.bin,1024,SHA-1,65.01587301587301
zero_filled_1KB.bin,1024,SHA-256,89.04347826086956
zero_filled_1KB.bin,1024,SHA3-256,81.92
zero_filled_1KB.bin,1024,BLAKE2b,89.04347826086956
zero_filled_1MB.bin,1048576,MD5,333.56958803881025
zero_filled_1MB.bin,1048576,SHA-1,1900.4549161758043
zero_filled_1MB.bin,1048576,SHA-256,1840.4142167617376
zero_filled_1MB.bin,1048576,SHA3-256,628.9254760833708
zero_filled_1MB.bin,1048576,BLAKE2b,895.4534585824082
zero_filled_200MB.bin,209715200,MD5,446.68368854750463
zero_filled_200MB.bin,209715200,SHA-1,1836.719018560728
zero_filled_200MB.bin,209715200,SHA-256,1757.1003661407756
zero_filled_200MB.bin,209715200,SHA3-256,565.8126357012148
zero_filled_200MB.bin,209715200,BLAKE2b,841.4212448480727
zero_filled_20KB.bin,20480,MD5,19.14913510986442
zero_filled_20KB.bin,20480,SHA-1,572.8671328671329
zero_filled_20KB.bin,20480,SHA-256,811.0891089108911
zero_filled_20KB.bin,20480,SHA3-256,455.1111111111111
zero_filled_20KB.bin,20480,BLAKE2b,572.8671328671329
zero_filled_20MB.bin,20971520,MD5,458.7573760630007
zero_filled_20MB.bin,20971520,SHA-1,1854.7377730609358
zero_filled_20MB.bin,20971520,SHA-256,1913.0234891676168
zero_filled_20MB.bin,20971520,SHA3-256,616.0122194806721
zero_filled_20MB.bin,20971520,BLAKE2b,867.4430484463057
zero_filled_2KB.bin,2048,MD5,2.55202492211838
zero_filled_2KB.bin,2048,SHA-1,69.42372881355932
zero_filled_2KB.bin,2048,SHA-256,130.03174603174602
zero_filled_2KB.bin,2048,SHA3-256,115.38028169014085
zero_filled_2KB.bin,2048,BLAKE2b,138.84745762711864
zero_filled_2MB.bin,2097152,MD5,327.05399820655776
zero_filled_2MB.bin,2097152,SHA-1,1844.866505388168
zero_filled_2MB.bin,2097152,SHA-256,2022.3259402121505
zero_filled_2MB.bin,2097152,SHA3-256,631.1020162503762
zero_filled_2MB.bin,2097152,BLAKE2b,872.4501300052002
zero_filled_50KB.bin,51200,MD5,184.33843384338434
zero_filled_50KB.bin,51200,SHA-1,906.1946902654868
zero_filled_50KB.bin,51200,SHA-256,1280.0
zero_filled_50KB.bin,51200,SHA3-256,529.1989664082687
zero_filled_50KB.bin,51200,BLAKE2b,750.1831501831501
zero_filled_50MB.bin,52428800,MD5,460.045014017523
zero_filled_50MB.bin,52428800,SHA-1,1886.2333831015812
zero_filled_50MB.bin,52428800,SHA-256,1906.657817457792
zero_filled_50MB.bin,52428800,SHA3-256,610.8589271566389
zero_filled_50MB.bin,52428800,BLAKE2b,864.6765840947323
zero_filled_5KB.bin,5120,MD5,19.32075471698113
zero_filled_5KB.bin,5120,SHA-1,243.8095238095238
zero_filled_5KB.bin,5120,SHA-256,325.07936507936506
zero_filled_5KB.bin,5120,SHA3-256,252.8395061728395
zero_filled_5KB.bin,5120,BLAKE2b,288.4507042253521
zero_filled_5MB.bin,5242880,MD5,425.82631119413594
zero_filled_5MB.bin,5242880,SHA-1,1962.1556886227545
zero_filled_5MB.bin,5242880,SHA-256,1998.2391615054787
zero_filled_5MB.bin,5242880,SHA3-256,630.7603464870067
zero_filled_5MB.bin,5242880,BLAKE2b,898.9849108367627
