File Size (bytes),Algorithm,Initialization Time (µs),Block Processing Time (µs),Key Scheduling Time (µs),File Processing Time (s)
20971520,ChaCha20,35.28594970703125,,,
20971520,Camellia (128-bit),11.682510375976562,2.86102294921875,1.9073486328125,0.5172939300537109
2048,AES (128-bit),26.941299438476562,0.7152557373046875,1.1920928955078125,0.00045990943908691406
2048,3DES,10.013580322265625,4.0531158447265625,1.1920928955078125,0.00019979476928710938
2048,ChaCha20,8.106231689453125,,,
2048,Camellia (128-bit),5.245208740234375,1.1920928955078125,1.9073486328125,9.202957153320312e-05
2097152,AES (128-bit),4.76837158203125,1.1920928955078125,1.9073486328125,0.0032889842987060547
2097152,3DES,3.814697265625,2.86102294921875,1.9073486328125,0.18173718452453613
2097152,ChaCha20,25.74920654296875,,,
2097152,Camellia (128-bit),10.013580322265625,2.1457672119140625,1.9073486328125,0.05199909210205078
51200,AES (128-bit),22.172927856445312,0.95367431640625,1.9073486328125,0.000926971435546875
51200,3DES,7.8678131103515625,3.814697265625,1.9073486328125,0.004467010498046875
51200,ChaCha20,7.8678131103515625,,,
51200,Camellia (128-bit),5.245208740234375,1.9073486328125,2.1457672119140625,0.001280069351196289
5120,AES (128-bit),7.152557373046875,0.0,0.95367431640625,0.0002167224884033203
5120,3DES,8.106231689453125,1.9073486328125,1.9073486328125,0.00046896934509277344
5120,ChaCha20,9.059906005859375,,,
5120,Camellia (128-bit),4.76837158203125,2.1457672119140625,2.1457672119140625,0.0001590251922607422
5242880,AES (128-bit),6.198883056640625,1.1920928955078125,1.9073486328125,0.00680088996887207
5242880,3DES,8.821487426757812,3.0994415283203125,0.95367431640625,0.4602339267730713
5242880,ChaCha20,30.994415283203125,,,
5242880,Camellia (128-bit),9.775161743164062,2.6226043701171875,2.1457672119140625,0.12854719161987305
102400,AES (128-bit),25.272369384765625,1.9073486328125,2.1457672119140625,0.0012347698211669922
102400,3DES,8.106231689453125,3.0994415283203125,0.7152557373046875,0.00877690315246582
102400,ChaCha20,8.821487426757812,,,
102400,Camellia (128-bit),6.9141387939453125,2.1457672119140625,2.1457672119140625,0.0026171207427978516
10240,AES (128-bit),7.152557373046875,0.95367431640625,0.95367431640625,0.0002429485321044922
10240,3DES,8.106231689453125,1.9073486328125,2.1457672119140625,0.0009257793426513672
10240,ChaCha20,9.775161743164062,,,
10240,Camellia (128-bit),8.106231689453125,1.1920928955078125,0.95367431640625,0.0003027915954589844
10485760,AES (128-bit),6.198883056640625,0.95367431640625,0.7152557373046875,0.013195991516113281
10485760,3DES,9.298324584960938,3.0994415283203125,0.95367431640625,0.9437859058380127
10485760,ChaCha20,29.087066650390625,,,
10485760,Camellia (128-bit),14.066696166992188,1.9073486328125,1.9073486328125,0.26025819778442383
1024,AES (128-bit),23.126602172851562,0.95367431640625,1.9073486328125,0.0007297992706298828
1024,3DES,12.159347534179688,4.291534423828125,2.1457672119140625,0.00011992454528808594
1024,ChaCha20,11.205673217773438,,,
1024,Camellia (128-bit),6.198883056640625,1.9073486328125,2.1457672119140625,5.817413330078125e-05
1048576,AES (128-bit),8.106231689453125,0.95367431640625,2.1457672119140625,0.0022230148315429688
1048576,3DES,8.821487426757812,2.86102294921875,2.1457672119140625,0.09195613861083984
1048576,ChaCha20,20.9808349609375,,,
1048576,Camellia (128-bit),9.059906005859375,2.1457672119140625,2.1457672119140625,0.026290178298950195
20480,AES (128-bit),18.835067749023438,1.9073486328125,1.9073486328125,0.0008530616760253906
20480,3DES,5.9604644775390625,3.0994415283203125,0.7152557373046875,0.0017709732055664062
20480,ChaCha20,9.059906005859375,,,
20480,Camellia (128-bit),5.0067901611328125,2.1457672119140625,1.6689300537109375,0.0005340576171875
20971520,AES (128-bit),6.198883056640625,0.95367431640625,1.1920928955078125,0.023396015167236328
20971520,3DES,17.1661376953125,4.0531158447265625,2.1457672119140625,1.823669195175171
20971520,ChaCha20,38.86222839355469,,,
20971520,Camellia (128-bit),10.967254638671875,3.0994415283203125,2.1457672119140625,0.5136349201202393
2048,AES (128-bit),24.080276489257812,1.9073486328125,2.1457672119140625,0.0007679462432861328
2048,3DES,8.821487426757812,4.0531158447265625,1.6689300537109375,0.00019288063049316406
2048,ChaCha20,8.106231689453125,,,
2048,Camellia (128-bit),5.9604644775390625,1.9073486328125,1.1920928955078125,8.797645568847656e-05
2097152,AES (128-bit),4.76837158203125,0.95367431640625,1.9073486328125,0.0031807422637939453
2097152,3DES,5.0067901611328125,2.1457672119140625,1.1920928955078125,0.18391203880310059
2097152,ChaCha20,24.080276489257812,,,
2097152,Camellia (128-bit),9.059906005859375,1.9073486328125,2.86102294921875,0.052310943603515625
51200,AES (128-bit),23.84185791015625,1.1920928955078125,1.9073486328125,0.0008749961853027344
51200,3DES,15.020370483398438,3.814697265625,1.1920928955078125,0.0043981075286865234
