Encryption Time (s),Decryption Time (s),Encryption Avg CPU (%),Decryption Avg CPU (%),Encryption Peak Memory (MB),Decryption Peak Memory (MB),File Size (bytes),Algorithm
0.002541065216064453,0.0025680065155029297,50.0,100.05,552.390625,552.390625,102400,Camellia (128-bit)
3.0994415283203125e-05,1.8835067749023438e-05,0.0,91.3,552.390625,552.390625,10240,AES (128-bit)
0.0009882450103759766,0.0008990764617919922,0.0,99.9,552.390625,552.390625,10240,3DES
2.002716064453125e-05,1.5020370483398438e-05,0.0,95.7,552.40625,552.40625,10240,ChaCha20
0.0002617835998535156,0.0002551078796386719,0.0,99.8,552.40625,552.40625,10240,Camellia (128-bit)
0.10993504524230957,0.06673789024353027,97.626875,99.295,566.125,436.9375,10485760,AES (128-bit)
0.99922776222229,1.0300400257110596,98.76875,98.67125,409.703125,413.5625,10485760,3DES
0.0572359561920166,0.059308767318725586,99.343125,99.85499999999999,409.984375,409.984375,10485760,ChaCha20
0.3169569969177246,0.32111620903015137,98.97999999999999,99.68625,410.34375,410.359375,10485760,Camellia (128-bit)
1.4781951904296875e-05,9.298324584960938e-06,0.0,95.2,410.359375,410.359375,1024,AES (128-bit)
9.989738464355469e-05,9.703636169433594e-05,0.0,99.7,410.359375,410.359375,1024,3DES
8.821487426757812e-06,6.9141387939453125e-06,0.0,93.8,410.359375,410.359375,1024,ChaCha20
3.3855438232421875e-05,3.314018249511719e-05,0.0,96.8,410.359375,410.359375,1024,Camellia (128-bit)
0.0015196800231933594,0.0013229846954345703,93.675,99.9625,410.375,410.375,1048576,AES (128-bit)
0.09225893020629883,0.09761714935302734,93.75,97.49375,410.375,410.375,1048576,3DES
0.0010178089141845703,0.0009920597076416016,93.69375,99.98125,377.5,377.5,1048576,ChaCha20
0.026896238327026367,0.027150869369506836,93.65625,99.99375,378.296875,378.296875,1048576,Camellia (128-bit)
6.914138793945312e-05,3.2901763916015625e-05,0.0,100.1,378.3125,378.34375,20480,AES (128-bit)
0.0018527507781982422,0.0018110275268554688,0.0,100.0,378.34375,378.34375,20480,3DES
1.621246337890625e-05,1.4781951904296875e-05,0.0,104.4,378.34375,378.34375,20480,ChaCha20
0.0005192756652832031,0.0005121231079101562,0.0,99.8,378.34375,378.34375,20480,Camellia (128-bit)
0.39749717712402344,0.46204090118408203,96.3646875,99.13875,550.03125,587.671875,20971520,AES (128-bit)
2.298877000808716,2.370837926864624,99.1153125,99.106875,586.9375,610.9375,20971520,3DES
0.40714216232299805,0.4092438220977783,99.60499999999999,99.8884375,590.921875,610.984375,20971520,ChaCha20
0.9304807186126709,1.0055890083312988,99.60593750000001,98.66125,590.96875,604.109375,20971520,Camellia (128-bit)
4.410743713378906e-05,1.0013580322265625e-05,0.0,88.5,545.5,545.5,2048,AES (128-bit)
0.0001862049102783203,0.00018405914306640625,0.0,99.9,545.5,545.5,2048,3DES
1.0013580322265625e-05,8.106231689453125e-06,0.0,96.0,545.5,545.5,2048,ChaCha20
5.984306335449219e-05,5.91278076171875e-05,0.0,99.5,545.5,545.5,2048,Camellia (128-bit)
0.005534172058105469,0.00430607795715332,96.59375,99.334375,545.5,545.5,2097152,AES (128-bit)
